,latitude,longitude,country,alpha-3,region
1,23.424076,53.847818,United Arab Emirates,ARE,Asia
2,33.93911,67.709953,Afghanistan,AFG,Asia
6,40.069099,45.038189,Armenia,ARM,Asia
15,40.143105,47.576927,Azerbaijan,AZE,Asia
18,23.684994,90.356331,Bangladesh,BGD,Asia
22,25.930414,50.637772,Bahrain,BHR,Asia
30,27.514162,90.433601,Bhutan,BTN,Asia
45,35.86166,104.195397,"China, mainland",CHN,Asia
51,35.126413,33.429859,Cyprus,CYP,Asia
75,42.315407,43.356892,Georgia,GEO,Asia
92,22.396428,114.109497,Hong Kong,HKG,Asia
98,-0.789275,113.921327,Indonesia,IDN,Asia
100,31.046051,34.851612,Israel,ISR,Asia
102,20.593684,78.96288,India,IND,Asia
104,33.223191,43.679291,Iraq,IRQ,Asia
105,32.427908,53.688046,Iran,IRN,Asia
110,30.585164,36.238414,Jordan,JOR,Asia
111,36.204824,138.252924,Japan,JPN,Asia
113,41.20438,74.766098,Kyrgyzstan,KGZ,Asia
114,12.565679,104.990963,Cambodia,KHM,Asia
119,35.907757,127.766922,South Korea,PRK,Asia
120,29.31166,47.481766,Kuwait,KWT,Asia
122,48.019573,66.923684,Kazakhstan,KAZ,Asia
123,19.85627,102.495496,Laos,LAO,Asia
124,33.854721,35.862285,Lebanon,LBN,Asia
127,7.873054,80.771797,Sri Lanka,LKA,Asia
143,46.862496,103.846656,Mongolia,MNG,Asia
151,3.202778,73.22068,Maldives,MDV,Asia
154,4.210484,101.975766,Malaysia,MYS,Asia
164,28.394857,84.124008,Nepal,NPL,Asia
168,21.512583,55.923255,Oman,OMN,Asia
173,12.879721,121.774017,Philippines,PHL,Asia
174,30.375321,69.345116,Pakistan,PAK,Asia
183,25.354826,51.183884,Qatar,QAT,Asia
189,23.885942,45.079162,Saudi Arabia,SAU,Asia
194,1.352083,103.819836,Singapore,SGP,Asia
206,34.802075,38.996815,Syria,SYR,Asia
212,15.870032,100.992541,Thailand,THA,Asia
213,38.861034,71.276093,Tajikistan,TJK,Asia
215,-8.874217,125.727539,Timor-Leste,TLS,Asia
216,38.969719,59.556278,Turkmenistan,TKM,Asia
219,38.963745,35.243322,Turkey,TUR,Asia
222,23.69781,120.960515,Taiwan,TWN,Asia
229,41.377491,64.585262,Uzbekistan,UZB,Asia
235,14.058324,108.277199,Vietnam,VNM,Asia
240,15.552727,48.516388,Yemen,YEM,Asia
